JHOM1	SRR8615916	ACH-000237
JHOM2B	SRR8615917	ACH-000333
JHOS2	SRR8615922	ACH-000132
JHOS4	SRR8615923	ACH-000584
JHUEM1	SRR8615554	ACH-000928
JHUEM2	SRR8615553	ACH-000909
JHUEM3	SRR8615552	ACH-000173
JHUEM7	SRR8615551	ACH-000993
JIMT1	SRR8615558	ACH-000711
JJN3	SRR8615557	ACH-000653
JK1	SRR8615556	ACH-000241
JL1	SRR8615555	ACH-000645
JM1	SRR8615560	ACH-000151
JMSU1	SRR8615559	ACH-000753
JURKAT	SRR8615712	ACH-000995
JURLMK1	SRR8615713	ACH-000326
JVM2	SRR8615710	ACH-000106
JVM3	SRR8615711	ACH-000346
K029AX	SRR8615716	ACH-000404
K562	SRR8615717	ACH-000551
KALS1	SRR8615714	ACH-000231
KARPAS299	SRR8615715	ACH-000053
KARPAS422	SRR8615704	ACH-000315
KARPAS620	SRR8615705	ACH-000193
KASUMI1	SRR8615361	ACH-000263
KASUMI2	SRR8615360	ACH-000728
KASUMI6	SRR8615363	ACH-000166
KATOIII	SRR8615362	ACH-000793
KCL22	SRR8615365	ACH-000983
KD	SRR8615364	ACH-001099
KE37	SRR8615367	ACH-000101
KE39	SRR8615366	ACH-000507
KE97	SRR8615358	ACH-000167
KELLY	SRR8615357	ACH-000259
KG1C	SRR8615911	ACH-000126
KG1	SRR8615910	ACH-000386
KHM1B	SRR8615913	ACH-000564
KIJK	SRR8615912	ACH-000773
KLE	SRR8615907	ACH-000293
KM12	SRR8615906	ACH-000969
KMBC2	SRR8615909	ACH-000862
KMH2	SRR8615908	ACH-000815
KMM1	SRR8615903	ACH-000889
KMRC1	SRR8615902	ACH-000684
KMRC20	SRR8615355	ACH-000250
KMRC2	SRR8615356	ACH-000709
KMRC3	SRR8615353	ACH-000313
KMS11	SRR8615354	ACH-000714
KMS12BM	SRR8615351	ACH-000380
KMS18	SRR8615352	ACH-000658
KMS20	SRR8615349	ACH-000426
KMS21BM	SRR8615350	ACH-000598
KMS26	SRR8615347	ACH-000588
KMS27	SRR8615348	ACH-000576
KMS28BM	SRR8615942	ACH-000419
KMS34	SRR8615941	ACH-000541
KNS42	SRR8615703	ACH-000622
KNS60	SRR8615702	ACH-000445
KNS62	SRR8615709	ACH-000858
KNS81	SRR8615708	ACH-000479
KO52	SRR8615707	ACH-000498
KOPN8	SRR8615706	ACH-001106
KP2	SRR8615951	ACH-000281
KP3	SRR8615950	ACH-000108
KP4	SRR8616075	ACH-000265
KPL1	SRR8616076	ACH-000028
KPMRTRY	SRR8616077	ACH-001109
KPNRTBM1	SRR8616078	ACH-000345
KPNSI9S	SRR8616071	ACH-000446
KPNYN	SRR8616072	ACH-000227
KS1	SRR8616073	ACH-000631
KU1919	SRR8616074	ACH-000486
KU812	SRR8616080	ACH-000074
KURAMOCHI	SRR8616081	ACH-000524
KYM1	SRR8615391	ACH-000607
KYO1	SRR8615943	ACH-000604
KYSE140	SRR8616035	ACH-000823
KYSE150	SRR8616034	ACH-000855
KYSE180	SRR8616037	ACH-000693
KYSE270	SRR8616036	ACH-000873
KYSE30	SRR8616039	ACH-000777
KYSE410	SRR8616038	ACH-000809
KYSE450	SRR8615511	ACH-000865
KYSE510	SRR8615500	ACH-000824
KYSE520	SRR8615481	ACH-000637
KYSE70	SRR8615482	ACH-000784
L1236	SRR8615479	ACH-000702
L33	SRR8615480	ACH-000685
L363	SRR8615485	ACH-000183
L428	SRR8615486	ACH-000754
L540	SRR8615683	ACH-000806
LAMA84	SRR8615684	ACH-000301
LC1F	SRR8616103	ACH-000705
LCLC103H	SRR8616115	ACH-000627
LCLC97TM1	SRR8615719	ACH-000596
LI7	SRR8615387	ACH-000471
LK2	SRR8615840	ACH-000769
LMSU	SRR8615839	ACH-000255
LN18	SRR8615838	ACH-000819
LN215	SRR8615837	ACH-000328
LN229	SRR8615836	ACH-000595
LN235	SRR8615835	ACH-000591
LN319	SRR8615403	ACH-000128
LN340	SRR8615400	ACH-000634
LN382	SRR8615872	ACH-000215
LN428	SRR8615544	ACH-000455
LN443	SRR8615545	ACH-000673
LN464	SRR8615546	ACH-000676
LNCAPCLONEFGC	SRR8615547	ACH-000977
LNZ308	SRR8615548	ACH-000760
LOUCY	SRR8615549	ACH-000104
LOUNH91	SRR8615550	ACH-000176
LOVO	SRR8616185	ACH-000950
LOXIMVI	SRR8616186	ACH-000750
LP1	SRR8615397	ACH-000204
LS1034	SRR8615396	ACH-000252
LS123	SRR8615399	ACH-000501
LS180	SRR8615398	ACH-000957
LS411N	SRR8615393	ACH-000985
LS513	SRR8615392	ACH-000007
LU65	SRR8615395	ACH-000438
LU99	SRR8615394	ACH-000444
LUDLU1	SRR8615402	ACH-000390
LXF289	SRR8615401	ACH-000787
M059K	SRR8615761	ACH-000152
M07E	SRR8615762	ACH-000602
